met,Ta,Tr,RH,v,thermal_load,PMV,PPD,pmv_factor
0.8,20.0,30.0,30.0,0.1,-23.997081127183073,-2.0342390903728886,78.28491283609013,0.08477027183395952
0.8,20.0,30.0,30.0,0.2,-31.062233665282854,-2.6331539915759965,95.81642797839105,0.08477027183395952
0.8,20.0,30.0,50.0,0.05,-22.204606710618073,-1.8822905468252558,71.18338584568542,0.08477027183395952
0.8,20.0,30.0,50.0,0.1,-22.204606710618073,-1.8822905468252558,71.18338584568542,0.08477027183395952
0.8,20.0,30.0,50.0,0.2,-29.269759248717854,-2.4812054480283634,93.03024295616888,0.08477027183395952
0.8,20.0,30.0,70.0,0.05,-20.412132294053087,-1.730342003277624,63.36935349105236,0.08477027183395952
0.8,20.0,30.0,70.0,0.1,-20.412132294053087,-1.730342003277624,63.36935349105236,0.08477027183395952
0.8,20.0,30.0,70.0,0.2,-27.47728483215287,-2.3292569044807316,89.14413048467408,0.08477027183395952
0.8,20.0,34.0,30.0,0.05,-13.22166789265605,-1.1208043813587882,31.472266012626648,0.08477027183395952
0.8,20.0,34.0,30.0,0.1,-13.22166789265605,-1.1208043813587882,31.472266012626648,0.08477027183395952
0.8,20.0,34.0,30.0,0.2,-20.281478848430503,-1.719266475176154,62.78050837646134,0.08477027183395952
0.8,20.0,34.0,50.0,0.05,-11.429193476091058,-0.9688558378111557,24.826851288147992,0.08477027183395952
0.8,20.0,34.0,50.0,0.1,-11.429193476091058,-0.9688558378111557,24.826851288147992,0.08477027183395952
0.8,20.0,34.0,50.0,0.2,-18.489004431865503,-1.567317931628521,54.56521877181087,0.08477027183395952
0.8,20.0,34.0,70.0,0.05,-9.636719059526072,-0.8169072942635239,19.07427043335268,0.08477027183395952
0.8,20.0,34.0,70.0,0.1,-9.636719059526072,-0.8169072942635239,19.07427043335268,0.08477027183395952
0.8,20.0,34.0,70.0,0.2,-16.696530015300524,-1.4153693880808897,46.33262634707198,0.08477027183395952
0.8,22.0,18.0,30.0,0.05,-47.751047076700296,-4.047869241048082,99.9996706789008,0.08477027183395952
0.8,22.0,18.0,30.0,0.1,-47.82598294830108,-4.054221575253796,99.99969228381636,0.08477027183395952
0.8,22.0,18.0,30.0,0.2,-54.04990769483559,-4.581825367891633,99.99999962546207,0.08477027183395952
0.8,22.0,18.0,50.0,0.05,-45.72419604061694,-3.8760525277523534,99.99814152301494,0.08477027183395952
0.8,22.0,18.0,50.0,0.1,-45.799131912217725,-3.882404861958067,99.998250582042,0.08477027183395952
0.8,22.0,18.0,50.0,0.2,-52.02305665875222,-4.410008654595903,99.99999573890773,0.08477027183395952
0.8,22.0,18.0,70.0,0.05,-43.69734500453358,-3.704235814456625,99.99133874572435,0.08477027183395952
0.8,22.0,18.0,70.0,0.1,-43.77228087613437,-3.710588148662338,99.99179141014388,0.08477027183395952
0.8,22.0,18.0,70.0,0.2,-49.996205622668874,-4.238191941300176,99.99996201532122,0.08477027183395952
0.8,22.0,22.0,30.0,0.05,-37.89904435570059,-3.212712292280028,99.71839785689468,0.08477027183395952
0.8,22.0,22.0,30.0,0.1,-37.89904435570059,-3.212712292280028,99.71839785689468,0.08477027183395952
0.8,22.0,22.0,30.0,0.2,-44.455212518263345,-3.768480449609624,99.99502327447824,0.08477027183395952
0.8,22.0,22.0,50.0,0.05,-35.87219331961723,-3.0408955789842995,99.27973271254938,0.08477027183395952
0.8,22.0,22.0,50.0,0.1,-35.87219331961723,-3.0408955789842995,99.27973271254938,0.08477027183395952
0.8,22.0,22.0,50.0,0.2,-42.42836148217999,-3.596663736313895,99.97926184644311,0.08477027183395952
0.8,22.0,22.0,70.0,0.05,-33.845342283533874,-2.8690788656885706,98.37056462358171,0.08477027183395952
0.8,22.0,22.0,70.0,0.1,-33.845342283533874,-2.8690788656885706,98.37056462358171,0.08477027183395952
0.8,22.0,22.0,70.0,0.2,-40.40151044609663,-3.4248470230181667,99.9268435714572,0.08477027183395952
0.8,22.0,26.0,30.0,0.05,-27.717630457792275,-2.349631068500287,89.73288771833572,0.08477027183395952
0.8,22.0,26.0,30.0,0.1,-27.717630457792275,-2.349631068500287,89.73288771833572,0.08477027183395952
